EMPLID,DEPTID,ACCT_CD,PAY_END_DT,O_SAL_AMT,O_TEMP_AMT,O_OVT_AMT,O_FRINGE_TOT,O_AUTO_ALLOW,O_WC_PAID,O_SUI_PAID,O_UNIFORM_ALLOW,O_DIS_INS,O_FIRE_HOL,O_SPECIAL_MEETING
18006,43,1043,8/22/15 0:00,5339.02,0,3575.24,4056.14,0,536.57,32.1,0,0,0,0
18006,43,1043,9/5/15 0:00,5339.01,0,1096.41,4157.56,0,560.52,32.09,0,0,0,0
18006,43,1043,9/19/15 0:00,5339.02,0,8818.91,4259.43,0,560.53,32.09,0,0,0,0
18006,43,1043,10/3/15 0:00,5339.01,0,9438.62,4131.82,0,536.57,32.09,0,0,0,0
18006,43,1043,10/17/15 0:00,5339.01,0,595.87,4164.56,0,560.52,32.1,0,0,0,0
18006,43,1043,10/31/15 0:00,5339.01,0,2359.65,4029.19,0,536.57,32.09,0,0,0,0
18006,43,1043,11/14/15 0:00,5339.02,0,4469.05,16191.64,0,1422.88,32.09,0,0,8580.56,0
18006,43,1043,11/28/15 0:00,5339.01,0,2752.93,4034.88,0,536.57,32.09,0,0,0,0
18006,43,1043,12/12/15 0:00,5339.02,0,595.87,4138.12,0,560.53,32.1,0,0,0,0
18006,43,1043,12/26/15 0:00,5339.02,0,4099.6,3233.55,0,560.53,32.03,0,0,0,0
18006,43,1043,1/9/16 0:00,5339.01,0,1716.11,4051.73,0,536.57,32.09,0,0,0,0
18006,43,1043,1/23/16 0:00,5339.01,0,3277.3,4208.88,0,560.52,32.1,0,0,0,0
18006,43,1043,2/6/16 0:00,5339.01,0,2145.14,4065.73,0,536.57,32.09,0,0,0,0
18006,43,1043,2/20/16 0:00,5339.01,0,3670.57,4223.66,0,560.52,32.09,0,0,0,0
18006,43,1043,3/5/16 0:00,5339.02,0,5350.93,4238.94,0,560.53,32.09,0,0,0,0
18006,43,1043,3/19/16 0:00,5339.02,0,1716.11,4057.96,0,536.57,32.1,0,0,0,0
18006,43,1043,4/2/16 0:00,5339.01,0,3366.68,4210.17,0,560.52,32.09,0,0,0,0
18006,43,1043,4/16/16 0:00,5339.01,0,4826.56,4096.84,0,536.57,32.09,0,0,0,0
18006,43,1043,4/30/16 0:00,5339.01,0,4600.14,4236.61,0,560.52,32.09,0,0,0,0
18006,43,1043,5/14/16 0:00,5339.01,0,3074.7,4079.21,0,536.57,32.1,0,0,0,0
18006,43,1043,5/28/16 0:00,5339.02,0,3670.57,4214.58,0,560.53,32.09,0,0,0,0
18006,43,1043,6/11/16 0:00,5339.02,0,1954.46,4189.7,0,560.53,32.09,0,0,0,0
18006,43,1043,6/25/16 0:00,5339.01,0,6864.45,4135.2,0,536.57,32.09,0,0,0,0
18006,43,1043,7/9/16 0:00,5339.01,0,4421.37,4863.57,0,681.12,32.1,1200,0,0,0
18006,43,1043,7/23/16 0:00,5621.27,0,3613.67,3273.49,0,564.94,33.72,0,0,0,0
18006,43,1043,8/6/16 0:00,5621.27,0,6799.7,4447.65,0,589.83,33.79,0,0,0,0
18006,43,1043,8/20/16 0:00,5621.26,0,18319.29,4616.52,0,590.16,33.79,0,0,0,0
18006,43,1043,9/3/16 0:00,5621.27,0,4140.66,4268.39,0,564.94,33.78,0,0,0,0
18006,43,1043,9/17/16 0:00,5621.26,0,1003.8,4365.45,0,590.16,33.79,0,0,0,0
18006,43,1044,1/24/15 0:00,0,0,648.2,0,0,0,0,0,0,0,0
18006,43,1044,3/7/15 0:00,0,0,733.49,0,0,0,0,0,0,0,0
18006,43,1044,5/16/15 0:00,0,0,1194.06,0,0,0,0,0,0,0,0
18006,43,1044,5/30/15 0:00,0,0,682.32,0,0,0,0,0,0,0,0
18006,43,1044,6/13/15 0:00,0,0,648.2,0,0,0,0,0,0,0,0
18006,43,1044,6/27/15 0:00,0,0,136.46,0,0,0,0,0,0,0,0
18006,43,1044,7/25/15 0:00,0,0,572.04,0,0,0,0,0,0,0,0
18006,43,1044,8/22/15 0:00,0,0,643.54,0,0,0,0,0,0,0,0
